-DOCSTART- -X- -X- O

先 _ _ O
娶 _ _ O
王 _ _ B-W1
女 _ _ I-W1
， _ _ O
早 _ _ O
卒 _ _ O
。 _ _ O
再 _ _ O
娶 _ _ O
柳 _ _ B-W2
氏 _ _ I-W2
， _ _ O
華 _ _ O
原 _ _ O
郡 _ _ O
君 _ _ O
， _ _ O
亦 _ _ O
先 _ _ O
公 _ _ O
歿 _ _ O
。 _ _ O
子 _ _ O
六 _ _ O
人 _ _ O
： _ _ O
裼 _ _ B-S
， _ _ O
國 _ _ O
子 _ _ O
博 _ _ O
士 _ _ O
； _ _ O
扆 _ _ B-S
， _ _ O
太 _ _ O
子 _ _ O
中 _ _ O
舍 _ _ O
； _ _ O
裳 _ _ B-S
， _ _ O
秘 _ _ O
書 _ _ O
省 _ _ O
校 _ _ O
書 _ _ O
郎 _ _ O
， _ _ O
早 _ _ O
卒 _ _ O
； _ _ O
衷 _ _ B-S
、 _ _ O
裔 _ _ B-S
， _ _ O
并 _ _ O
秘 _ _ O
書 _ _ O
省 _ _ O
正 _ _ O
字 _ _ O
。 _ _ O
女 _ _ O
六 _ _ O
人 _ _ O
， _ _ O
適 _ _ O
太 _ _ O
廟 _ _ O
齋 _ _ O
郎 _ _ O
陳 _ _ B-DH
邈 _ _ I-DH
， _ _ O
秀 _ _ O
州 _ _ O
推 _ _ O
官 _ _ O
張 _ _ B-DH
行 _ _ I-DH
先 _ _ I-DH
， _ _ O
左 _ _ O
藏 _ _ O
庫 _ _ O
副 _ _ O
使 _ _ O
李 _ _ B-DH
昭 _ _ I-DH
用 _ _ I-DH
， _ _ O
太 _ _ O
子 _ _ O
中 _ _ O
舍 _ _ O
李 _ _ B-DH
備 _ _ I-DH
， _ _ O
太 _ _ O
常 _ _ O
寺 _ _ O
太 _ _ O
祝 _ _ O
呂 _ _ O
希 _ _ B-DH
俊 _ _ I-DH
， _ _ O
鄧 _ _ O
州 _ _ O
內 _ _ O
鄉 _ _ O
縣 _ _ O
尉 _ _ O
