,s,summary,res
0,獃子歡喜道：「哥呀！造化了！果有寶貝！是一片石板蓋著哩！不知是罈兒盛著，是櫃兒裝著哩。」,八戒歡喜道行者,"八戒歡喜道三藏、行者、沙僧、馬、鿊諸佛、醧、 八大神、無邊菩薩
"
1,沙僧道：「師父啊，常言道：『千日喫了千升米。』今已託賴陳府上，且再住幾日，待天晴化凍，辦船而過，忙中恐有錯也。」,沙僧道三藏,"沙僧道三藏、行者、八戒、悟淨、清風、明月、星、鱖少干童子、鿊角
"
2,行者道：「那個就是寶貝，如何不馱上來？」,行者道八戒,"行者道三藏、八戒、沙僧、雷公、電母、馬、鄧天君、長老路諸天與五方揭諦神眾
"
3,他坐在一塊石頭崖上，面前有一千二百多猴子，分班排班，口稱「萬歲！大聖爺爺！」,眾猴 口稱行者,"孫悟空分班排王面前有一千二百多猴子、巴山虎、倚海龍白金星、鱖婆
"
4,行者道：「是老孫護了禪堂，見師父濃睡，不曾驚動。」,孫悟空道三藏,"行者道三藏、八戒、沙僧、馬、長老、鯉財童子、佈霧仙吏、ro曾驚
"
5,眾怪丟了器械，跪倒道：「大聖好寬心！丟下我等許久，不來相顧！」,眾怪跪倒道孫悟空,"眾妖跪倒道行者、八戒、沙僧、馬、鱖少卿、長老、鯉太尒
"
6,精細鬼道：「往那裏走麼？」,精細鬼道伶俐蟲,"精細鬼道伶俐蟲、徒弟，磕頂水道行者、銀角、魿力大仙
"
7,相良道：「就死也是不敢受的。」,相良道尉遲公,"相良道菩薩、木叉、善財童子、捧珠龍女道行者、魏徵、長老
"
8,張氏道：「恭喜我兒，且又娶親回來。」,張氏道光蕊,"張氏道東海龍王、龍孫諸天與守山大神、木叉行者、善財童子、捧珠龍女
"
9,幸有近侍官員扶起。,近侍官員扶起國王,"行者官員扶起三藏、八戒、沙僧、馬、鱖少侍金角、鯉太宰
"
10,八戒笑道：「哥哥，你但幹事，就左我們。」,八戒笑道行者,"八戒笑道行者、沙僧、三藏、馬、鹿力大仙、長老、鯉太尉、酧天君
"
