s,desired_out
八戒道：「師父，這不到了？」,八戒:道:三藏
三藏道：「胡說！胡說！他那父母懷胎，不知受了多少苦楚，方生下來。未及三日，怎麼就把他拿來當果子？」,三藏:道:明月
行者道：「我等容易，只是師父難哩。」,行者:道:沙僧
八戒又笑道：「既不是人家奴才，來道叫做『添壽』、『添福』、『添祿』？」,八戒:笑道:福星
玉帝道：「朕見你身閑無事，與你件執事。你且權管那蟠桃園，早晚好生在意。」,玉皇大帝:道:孫悟空
龍王看罷，就鱉差元帥去請光蕊來到，道：「先生，恭喜！恭喜！今有先生夫人、公子同岳丈俱在江邊祭你。我今送你還魂去也。再有『如意珠』一顆，『走盤珠』二顆，絞綃十端，明珠玉帶一條，奉送。你今日便可夫妻子母相會也。」,龍王:道:光蕊
忽聽得三駙馬，便問多官道：「寡人只有兩個駙馬，怎麼又有個三駙馬？」,國王:道:閣門大使
那本寺多僧與幾個徒弟，早聞取經之事，都來相見；因問：「發誓願上西天，實否？」,眾僧、徒弟:問:玄奘
佛祖居於靈山大雷音寶剎之間，一日，喚聚諸佛、阿羅、揭諦、菩薩、金剛、比丘僧、尼等眾曰：「自伏乖猿安天之後，我處不知年月，料凡間有半千年矣。今值孟秋望日，我有一寶盆，具設百樣奇花，千般異果等物，與汝等享此『盂蘭盆會』，如何？」,如來佛祖:曰:諸佛、阿羅、揭諦、菩薩、金剛、比丘僧、尼等
卻說那怪將八戒拿進洞去，道：「哥哥啊，拿將一個來了。」,銀角:道:金角
行者沒及奈何，只得回見三藏道：「師父，這個怪被老孫罵將出來，他與我賭鬭多時，怯戰而走，只躲在水中間，再不出來了。」,孫悟空:道:三藏
那怪大驚道：「剛纔差了小的去下簡帖請他，這時候還未到那裏哩，如何他就來得這等迅速？想是小的不曾撞著他，斷是孫行者呼他來討袈裟的。管事的，可把佛衣藏了，莫教他看見。」,黑漢:驚道:小妖
行者道：「有！有！有！」,行者:道:老者
猴王道：「那十二個字？」,美猴王:道:菩提祖師
八戒舉鈀架住道：「你是個甚麼『哭喪杖』，斷叫你祖宗看杖！」,八戒:架住道:妖精
行者跟定道：「菩薩，你好欺伏我罷了！那妖精再三問你，你怎麼推聾裝瘂，不敢做聲，被他一鎗搠走了，卻把那個蓮臺都丟下耶！」,行者:道:行者
天帥啟奏道：「四大天王等眾已捉了妖猴齊天大聖了。來此聽宣。」,天帥:啟奏道:玉帝
美猴王道：「你們因何不耍不頑，一個個都潛踪隱跡？我來多時了，不見你們形影，何也？」,行者:搭配:群猴
行者道：「你不知老孫是蓋天下有名的賊頭。我當年偷蟠桃，盜御酒、竊靈丹，也不曾有人敢與我分用；怎麼今日偷他一個果子，你就抽了我的頭分去了！這果子是樹上結的，空中過鳥也該有分，老孫就喫他一個，有何大害？怎麼剛打下來，你就撈了去？」,行者:道:土地
道：「不知那個是他親哩。」,眾僧:道:行者
行者道：「我是大唐聖僧徒弟孫悟空行者，特特來此救你們性命。」,行者:道:眾僧
唐王道：「朕騎著馬，正行至渭水河邊，見雙頭魚戲；被朱太尉欺心，將朕推下馬來，跌落河中，幾乎渰死。」,唐王:道:眾臣
那大聖按落祥光，徑轉碗子山波月洞，尋出公主。,行者:尋:公主
唐王准奏，即命陞陳萼為學士之職，隨朝理政。,唐王:命:陳萼
